title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
Kinheart Women's Center,Centers,2214 Ridge,checked,Evanstown,IL,"60201-corner Noyes -Tel
(312)491-1103. Friday night is lesbian-only drop-in & lots of other activities during the
week: film nights/ author's readings and book discussions I pot-luck supp rs and
special holiday dinners, etc./ -they have 2 newsletters of their own-one with a distinct
lesbian orientation. Counselling, with emphasis on corning out problems 1s offered &
they keep both of Chicago· s gay/ lesbians papers and are a chem1cal-f ree space Their
newer programs include SINGLE LESBIANS GROUP & LESBIAN MOTHE S
SUPPORT GROUP. Be sure and say 'h1' from GAIA",,,,,,1989
Gay Illini Switchboard,Information Services,,checked,Champaign / Urbana,IL,-Tel. 384 8040. Mon-Fri. 7pm-10pm,,,,,,1989
Gay Switchboard,Information Services,,checked,Bloomington,IL,-Tel. 336-4299,,,,,,1989
His 'N' Hers,Bar / Restaurants,944 West Addison ,,Chicago,IL,"(New Town) -Tel 935-1210. Live entertainment and
good food.",**,"Bars, Clubs, Coffeehouses",,,,1989
Women & Children First,Feminist Bookstore,1967 N. Halsted,,Chicago,IL,"60614- -Tel. 440-8824 Feminist/ lesbian I gay I non-sexist children titles. GAIA'S GUIDE, posters. buttons. records. cards& gills. plus mail order service. bulletin board/ info/ referrals. and authors nights OpenM-F.11am-7pm/Th.11am-8pm/Sat.10am-6pm/Sun.12noon-5pm Say h1
from GAIA.",,,,,,1989
Jane Addams Book Shop,Alternative / Feminist Bookstores,208 North Neil,,Champaign / Urbana,IL,"-Tel. 356-2555. Antiquarian bookstore specializing in women's studies, children's and illustrated books, and detective fiction. It is a full-service bookstore providing a free search service for out-of print books and special orders for new books. Say 'hi' from GAIA",,,,,,1989
Chester Street,Bars,65 Chester,,Champaign / Urbana,IL,-Tel. 356-5607,**,"Bars, Clubs, Coffeehouses",,,,1989
"35, East",Bars,35 East Green Street,,Champaign / Urbana,IL,-Tel. 328-6969; 61820,**,"Bars, Clubs, Coffeehouses",,,,1989
Kelly's Our Way,Bars,648 Stateline,,Chicago,IL,Calumet City -Tel. 891-9084,**,"Bars, Clubs, Coffeehouses",,,,1989
Unabridged Books,Alternative Bookstore,3251 North Broadway,,Chicago,IL,60657 -Tel. 883-9119. Lots of Lesbian Titles I women's studies. They sell GAIA'S GUIDE. say 'h1' from GAIA,,,,,,1989
Patch,Bars,201 155th Place,,Chicago,IL,(at Wenlworth)-in Calumet Cily-Tel 891-9854,***,"Bars, Clubs, Coffeehouses",,,,1989
Uptown Connection,Bars,822 N. Illinois St. ,,Indianapolis,IN,Tel. 636-1020,*,"Bars, Clubs, Coffeehouses",,,,1989
Seahorse II Cabaret,Bars,1902 Western Ave.,,South Bend,IN,-Tel. 237-9139.,**,"Bars, Clubs, Coffeehouses",,,,1989
"Gay / Lesbian Organization at Fort Wayne, Inc.",Group,3426 Broadway,,Fort Wayne,IN,"PO 11152; 46856. Center
address: 3426 Broadway (at Bluffton Road)-Tel. 744-1199. Lesbian discussion group/ parents & friends of gays. NEWLETTER: TROIS. Say 'hi' from GAIA.",***(**),Organizations,,,,1989
T&L's at 21 Club,Bars,150 East 21st Street,,Indianapolis,IN,"'-Tel. 927-9000. Show bar, women
entertainment lounge. (89)",**(**),"Bars, Clubs, Coffeehouses",,,,1989
Dreams & Swords,Feminist Bookstore,828 East 64th St.,,Indianapolis,IN,"'-Tel. 253-9966, Posters / buttons/ cards/ women's music/ T-shirts/ women-made crafts / bulletin board/ ticket sales/ local info/ MAIL ORDER / author's nights/ special events. Many, many publications including OUTLINES (local info). They sell GAIA'S GUIDE, be sure and say 'hi' from GAIA.",,,,,,1989
Up the Street,Bars,226 West Main Street,,Fort Wayne,IN,-Tel. 422-8346,**,"Bars, Clubs, Coffeehouses",,,,1989
R Place,Bars,684 Lafayette Ave.,,Terre Haute,IN,Tel. 232-9363,**,"Bars, Clubs, Coffeehouses",,,,1989
Billie Hinnefeld,Attorneys,155 E Market,,Indianapolis,IN,(room 620)-Tel 631-0172,,,,,,1989
Gay / Lesbian Helpline,Switchboards / Hotlines / Crises Lines,,checked,Fort Wayne,IN,Tel. 422-1766 / weeknights 7: 30pm- 10pm & Sat. 7:30pm-12 midnight.,,,,,,1989
The Ten,Bars,1218 N Pennsylvania St.,,Indianapolis,IN,"Tel. 638-5802. At 12th. Disco with shows and pool
tables. Open 6pm-3am. Highly recommended. Say 'hi from GAIA ",****,"Bars, Clubs, Coffeehouses",,,,1989
Aquarius Books & Bookmobile,Feminist Bookstore,116 North Grant Street,,Bloomington,IN,"(nee Dreams & swords Two), 47401 -Tel. 336-2665. -serving the midwest. They will carry GAIA'S GUIDE, be sure and say 'hi' from GAIA. Lesbian and women's studies titles I music/ T-shirts/ jewelry/ posters/ non-sexist children's books & ticket sales, MAIL ORDER SERVICE. Lots of newspapers and magazines too.",,,,,,1989
Fraternity House,Bars,3421 West Sample,,South Bend,IN,-Tel. 287-2401,**,"Bars, Clubs, Coffeehouses",,,,1989
The Old Forge,Bars,243 Pearl Street,,Fort Wayne,IN,-Tel. 424-6130 & 422-1250.,**,"Bars, Clubs, Coffeehouses",,,,1989
Coachman Lounge,Bars,911 E. Main St. ,,Richmond,IN,Tel. 966-2835,**,"Bars, Clubs, Coffeehouses",,,,1989
The Other Side II,Bars,4209 East Morgan Avenue,,Evansville,IN,"entertainment, but not geared
towards women. male dancers, etc.",**,"Bars, Clubs, Coffeehouses",,,,1989
Carriage House,Bars,247 Kilgore Ave.,,Muncie,IN,-Tel. 282-7411,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,3754 N. Illinois,,Indianapolis,IN,-Tel. 299-6963.,,,,,,1989
Gay / Lesbian Switchboard,Service,,checked,Indianapolis,IN,"Tel. 543-6200. Free peer counseling/ information
and referrals. Answered 24 hours a day. 7 days a week.",,,,,,1989
Talbott Street,Bars,2145 North Talbott Avenue,,Indianapolis,IN,"42202 /(between 22nd & Meridian)· -Tel. 925-2411. Disco/ show-bar-women's entertainment nights/ food served/ outdoor patio area. Recommended.
Say 'hi' from GAIA.",**,"Bars, Clubs, Coffeehouses",,,,1989
Dr. Marko's Saloon,Bars,2704 Pendleton Ave,,Anderson,IN,,**,"Bars, Clubs, Coffeehouses",,,,1989
The Club,Bars,508 South Alabama St.,,Indianapolis,IN,Tel.634-7743,*,"Bars, Clubs, Coffeehouses",,,,1989
Columbus Gay / Lesbian Alliance,Gay / Lesbian Group,PO Box 1674,checked,Columbus,IN,PO Box 1674. 47201 No phone,,,,,,1989
National Organization for Women,Organizations,,checked,Indianapolis,IN,-Tel. 637-9846,,,,,,1989
Mark II,Bars,107 E. Main,,Muncie,IN,-Tel. 282-8273,**,"Bars, Clubs, Coffeehouses",,,,1989
The Works,Publications,303 North Senate Ave,,Indianapolis,IN,46204 -Tel. (317)632-2457.,,,,,,1989
Gay / Lesbian Switchboard,Service,,checked,Bloomington,IN,"-Tel 336-4299-8pm-midnight. daily
answering machine.",,,,,,1989
Rumors,Bars,207 South Street,,Lafayette,IN,-Tel 638-8138,**,"Bars, Clubs, Coffeehouses",,,,1989
S.P.'s Lounge,Bars,3901 Millersville Road,,Indianapolis,IN,-Tel. 547-7373,***,"Bars, Clubs, Coffeehouses",,,,1989
Swinging Door,Bars,2130 West Maryland,,Evansville,IN,-Tel. 423-3846. Mud-wrestling /impersonator shows and some local women entertainers.,***,"Bars, Clubs, Coffeehouses",,,,1989
Sisterspace,Women's Coffeehouse,2000 North Wells,,Fort Wayne,IN,-Tel. 424-4908,,,,,,1989
Tomorrow's,Bar / Restaurants,2301 North Meridian St.,,Indianapolis,IN,-Tel. 925-1710.,**,Bar / Restaurants,,,,1989
Shirley's Place,Bars,1341 Capital St.,,Indianapolis,IN,-Tel. 632-9931. Male dancer nights.,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Tri-State Alliance,Groups / Organizations,856 South Kentucky Ave,checked,Evansville,IN,"Civil Rights/ Support Group for Gay and Lesbians-write
PO Box 5638; 47715 Concerned with civil rights/ educational and employment opportunities/ rights of parenthood/ protection under the law. They meet at 7pm on the 4th Sunday of each month at the Unitarian Universalis Fellowship, at 856 South Kentucky Ave. Newsletter: Alliance Times-$4. 50 for 6 months. Say 'hi' from GAIA.",*,Organizations,,,"Organization only supplies PO Box, but I entered the address for their monthly meeting spot--is that appropriate?",1989
Bullwinkle's,Bars,201 South College,,Bloomington,IN,-Tel. 334-3232. Thursdays are women's nights. Fri. & Sat. popular with women. too,**(**),"Bars, Clubs, Coffeehouses",,,,1989
Gay / Lesbian Info Line,Information Services,,checked,Wichita,KS,-Tel. 269-9013,,,,,,1989
The Toby Scanland Library for Gays & Lesbians,Lesbian / Gay Library,PO Box 1144,checked,Topeka,KS,"-write: PO Box 1144; 66601 -Tel. 232-6196. Library open Sundays 3pm-6pm. Say ""hi' from GAIA.",,,,,,1989
View on the Hill,Bars,204 Orchard,,Kansas City,KS,"-Tel. 371-9370. Opens 4pm weekdays and
12-noon on weekends",**,"Bars, Clubs, Coffeehouses",,,,1989
Gay Rap Line,Service,,checked,Topeka,KS,"-Tel. 233-6558. Operates Weds/ Th/ Sun. 9pm-midnight / Fri & Sat
9pm-1am.",,,,,,1989
R & R's Brass Rail,Bars,2828 East 31st South,,Wichita,KS,-Tel. 684-9009,**,"Bars, Clubs, Coffeehouses",,,,1989
The Fox,Bars,7520 W 63rd St,,Kansas City,KS,-Tel. 384-0369,**,"Bars, Clubs, Coffeehouses",,,,1989
Big Mama's,Bars,1633 Southwest Blvd,,Kansas City,KS,Tel. 722-9864,****,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church / Wichita,Religious Groups,1704 Santa Fe,,Wichita,KS,"-Tel
267-1852",,,,,,1989
Gay / Lesbian Services,Service,,checked,Lawrence,KS,-Tel. 864-3091,,,,,,1989
Gay Information Line,Service,,checked,Kansas City,KS,"- Tel. 931-4470 recorded message of activities of
interest.",,,,,,1989
Bare Essentials,Bars,916 South Kansas Ave,,Topeka,KS,-Tel. 232-2368.,***,"Bars, Clubs, Coffeehouses",,,,1989
Our Fantasy,Bars,3201 South Hillside,,Wichita,KS,T el. 682-5494,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church / Topeka,Religious Groups,PO Box 1144,checked,Topeka,KS,"PO Box 1144; 16601 Tel.
232-6196",,,,,,1989
The Gallery ,Bars,108 East 8th Street,,Topeka,KS,-Tel. 233-444 1,**,"Bars, Clubs, Coffeehouses",,,,1989
Kelly's,Bars,315 South 10th St,,Kansas City,KS,Tel 371-9370,**,"Bars, Clubs, Coffeehouses",,,,1989
Dymnz,Bars,530 Wisconsin,,Lawrence,KS,Tel. 841-1282 & 841-1119,**,"Bars, Clubs, Coffeehouses",,,,1989
Jack's Lounge,Bars,1507 East Pawnee,,Wichita,KS,-Tel. 262-9327,**,"Bars, Clubs, Coffeehouses",,,,1989
Tony's Forever Yours / MS. 501,Bars,3210 East Osie,,Wichita,KS,-Tel. 683-7846,**(**),"Bars, Clubs, Coffeehouses",,,,1989
Spinsters Books & Webbery,Feminist Bookstore,801 1/2 Massachusetts,checked,Lawrence,KS,"(upstairs);. Tel.
843-9574. Mail to: PO Box 1306; 66044. Womyn's and children's
bookstore-women's studies, magazines and posters, buttons, women's
music, cards, bumperstickers, T-shirts, local crafts-& speakers bureau /
library/ archives/ meeting space I educational events and readings. Non-profit
organization. MAIL ORDER SERVICE. Ask them about the projected
LAVENDER UMBRELLA ORGANIZATION. They sell GAIA'S GUIDE, say 'hi""
from GAIA.",,,,,,1989
Kansas City B & B,Bed and Breakfast,,checked,Kansas City,KS,"'-Tel. (596-1096. Room and use of common areas. under $20.
00 per night.",,,,,,1989
Womenspirit,Lesbian AA,,checked,Lawrence,KS,meets at SPINSTERS BOOKS & WEBBERY. Tuesdays at 7pm,,,,,,1989
Lambda Club,Bars,624 Kansas Ave,,Topeka,KS,-Tel. 296-9089,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church ,Religious Groups,PO Box 32474,checked,Louisville,KY,PO Box 32474; 40232- -Tels. 637-6882 .. located in Christ Church Cathedral.,,,,,,1989
The Jefferson County Chapter of the National Organization for Women,N.O.W.,PO Box 1801,checked,Louisville,KY,PO Box 1801. 40201 -Tel. (502)561-5982.,,,,,,1989
Carmichael's,Bookstores,1295 Bardstown Rd,,Louisville,KY,"40204. -Tel. 456-6951. Lesbian titles and
women's studies / music / ticket sales They carry OFF BACKS, SOUJOURNER,
WOMEN'S REVIEW of BOOKS. Pick up your copy of LAVENDER LETTER. Say 'hi'
from Gaia.",,,,,,1989
Community-Ten Center,Gay / Lesbian Center,1321 South Preston Street,,Louisville,KY,-Tel. 636-3341. Home of WOMANSPLACE BRUNCH/ GAY A. A./ MMC. SEE LAVENDER LETTER for details,***(**),Organizations,,,,1989
Hotline,Information Services,,checked,Louisville,KY,"-Tel. 637-4342-6pm-1am. Operating from 6pm-1am, 7 days a week.
Ring them for details about the new Lesbian/ Gay Community center: CommTen
Center.",,,,,,1989
Gay Services Line,Service,,checked,Lexington,KY,-Tel. 231-0335. 8pm-11pm.,,,,,,1989
Partners,Bars,521 Madison,,Covington,KY,,***,"Bars, Clubs, Coffeehouses",,,,1989
The Bungalow,Bar / Restaurants,121 North Mill St.,,Lexington,KY,-Tel. 255-7477,,,,,,1989
The Lavender Letter,Publications,PO Box 19795,checked,Louisville,KY,"PO Box 19795; 40219-0795. -Tel. 637-4342. $7. 00 p.
a Full of local resources. events calendar for activities like: MCC cable TV schedule(1), gay aa, sports, etc. Local political orientation.",,,,,,1989
City Lounge,Bars,202 West Market St.,,Louisville,KY,-Tel. 587-0889,**,"Bars, Clubs, Coffeehouses",,,,1989
Discovery,Bars,116 East Main,,Louisville,KY,"-Tel. 585-1116, open 8pm-4am",**,"Bars, Clubs, Coffeehouses",,,,1989
Brezings,Bars,234 E. Short St. ,,Lexington,KY,-Tel. 233-3309,**,"Bars, Clubs, Coffeehouses",,,,1989
Jams,Bars,404 Pike St,,Covington,KY,-TeI. 431-1375,,,,,,1989
Carriage House / Market Place,Bars,725 East Market,,Louisville,KY,-Tel. 587-0089 &587-8717,**,"Bars, Clubs, Coffeehouses",,,,1989
Teddy Bear's ,Bars,1148 Garlin Place,,Louisville,KY,-Tel. 589-2619,**,"Bars, Clubs, Coffeehouses",,,,1989
The New Downtowner / Ladies Choice,Bars,105 W. Main St,,Louisville,KY,-Tel. 583-1166,,,,,,1989
Parkmoor,Bars,2545 South Third,,Louisville,KY,-Tel. 637-2571,**,"Bars, Clubs, Coffeehouses",,,,1989
The Frenchmen,Hotels/Motels/Guest Houses Etc.,417 Frenchmen St. ,,New Orleans,LA,"70116. (al Esplanade and Decatur) -Tel. 948-2166 or (outside Louisiana. toll-free: 1-800-831-1781 ). Tucked away in the French quarter and offering the elegance of the 19th century with 20th century amenities. All rooms with bath & climate control. TV & valet service. Tour service, intimate lush patio for exotic tropical drinks. Fully licensed. Food is served. It's gay owned & very, very much welcomes gay women There's a small swimming pool & jaccuzi. $60. 00 for a double with private bath No dogs allowed. Many letters of recommendation. Say 'hi' fromGAIA",,,,,,1989
The Country Club,Other Bars--Mostly Gay Men & Mixed Clientel,634 Louisa Street,,New Orleans,LA,-Tel 944-6452 Bar/ pool/ hot-tub,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Blue Odyssey II Club,Bars,2820 Lime Street,,Metaire,LA,"-Tel. 455-5582. Lively mixed show-bar.
Live entertainment. drag shows & 'Male Illusion'.",**,"Bars, Clubs, Coffeehouses",,,,1989
Petunia's ,Restaurants,817 St. Louis Street,,New Orleans,LA,"-Tel 561-9396 Open 7 days, Barn-midnight. CaJun
/crepes/ creole/ cocktails.",*,Restaurants,,,,1989
LaFitte Guest House,Hotels/Motels/Guest Houses Etc.,1003 Bourbon Street,,New Orleans,LA,"70116-Tel.581-2678 or toll free:1-
800-331-7971.",,,,,,1989
The Hair of the Dog,Other Bars--Mostly Gay Men & Mixed Clientel,540 Burgundy St. ,,New Orleans,LA,"-Tel. 522-1585. Friendly neighborhood
bar, mixed clientel",*,"Bars, Clubs, Coffeehouses",,,,1989
Libations,Bars,3619 18th Street,,Metaire,LA,-Tel. 885-1588. Disco-oriented with D.J. 's on weekends Special shows,**,"Bars, Clubs, Coffeehouses",,,,1989
Corkie's Cajun's,Bars,100 Melvyn Drive,,Monroe,LA,-Tel. 343-3500,*,"Bars, Clubs, Coffeehouses",,,,1989
Jason's,Other Bars--Mostly Gay Men & Mixed Clientel,2601 Royal Street,,New Orleans,LA,-Tel. 948-6968 Neighborhood bar.,*,"Bars, Clubs, Coffeehouses",,,,1989
The Friendly Lounge,Other Bars--Mostly Gay Men & Mixed Clientel,2301 Chartres,,New Orleans,LA,"-Tel. 948-8929. Open 7 days a week. 9am
till???",*,"Bars, Clubs, Coffeehouses",,,,1989
Impact,Publications,PO Box 52079,checked,New Orleans,LA,"PO Box 52079: New Orleans: LA, 70152. -Tel 948-9244 Excellent
coverage of events and happenings In Louisiana Resource guide Now published
every 2 weeks (o.k. for 1988)",,,,,,1989
The Other Side ,Bars,621 Elysian Fields,,New Orleans,LA,"'-Tel. 944-WHAT(9428). Owned by gay
women. Located on the outskirts of the French Quarter, THE OTHER SIDE
offers a dance bar, a social bar for mixing with New Orleans Women, a beautiful courtyard to enjoy the outdoors. We've now opened the yard as a coffeehouse• Open 7 days a week - 4pm Iii. .. Friday & Saturday nights a D. J. till 6am. Women & men welcome. 'Ya'II Come!'. New lesbian-oriented super-bar, be sure and say that GAIA sent.",****,"Bars, Clubs, Coffeehouses",,,,1989
St. Louis Gay Center,Information Services,,checked,New Orleans,LA,"-Tel. 524-7023 & 524-6932, M-F 9am-5pm.",,,,,,1989
Cheshire Cat,Restaurants,1201 Decatur Street,,New Orleans,LA,"70116 -Tel 522 4792 Breakfast/ lunch
afternoon teas",*,Restaurants,,,,1989
The Mint,Other Bars--Mostly Gay Men & Mixed Clientel,504 Esplanade ,,New Orleans,LA,at Decatur; 70116 -Tel. 525-2000. Live entertainment,*,"Bars, Clubs, Coffeehouses",,,,1989
Strokes,Bars,408 Maurice,,Lake Charles,LA,"'-Tel. -no phone-can you verify anyway-appears in
places of interest/ women)",,,,,,1989
Silly Sally's ,Bars,924 Jackson,,Alexandria,LA,-Tel 448-9164 Open rules & Weds 7pm-2am/Th -Sat. 8· 30pm-2am/Closed Sunday and Monday.,****,"Bars, Clubs, Coffeehouses",,,,1989
Rawhide Bar,Other Bars--Mostly Gay Men & Mixed Clientel,740 Burgundy Street,,New Orleans,LA,"(at St. Ann); 70116 -Tel. 525-8106 Open 24
hours a day.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
906 Mazant,Hotels/Motels/Guest Houses Etc.,906 Mazant,,New Orleans,LA,"-Tel. 944-2662. Plantalion setting/ doubles from $20 00
per nigh! each. Weekly rates available. lnternat,onal clientel and woman-owned",,,,,,1989
Bourgoyne,Hotels/Motels/Guest Houses Etc.,839 Bourbon Street,,New Orleans,LA,"701 t6-Tel. 524-3621 & 525-3983. Located right in the heart of the attractions of New Orleans' French Quarter. Gay clientele and very reasonable rates Private baths & kitchens. Highly recommended, extremely
hospitable, supportive people Say 'hi' from GAtA",,,,,,1989
Charlene's ,Women's Show Bar,940 Elysian Fields,,New Orleans,LA,-Tel. 945-9328 Dance bar/ show bar-the very best in women's entertainment. community benefits. pool tables. Private club.,****,"Bars, Clubs, Coffeehouses",,,,1989
Cafe Lafitte in Exile / Corral Bar,Other Bars--Mostly Gay Men & Mixed Clientel,901 Bourbon Street,,New Orleans,LA,"at Dumaine, 70116
-Tel. 522-8397. Open 24 hours.",**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
Faubourg Marigny Bookstore,Bookstores,600 Frenchmen Street,,New Orleans,LA,"70116 -Tel. (504)943-9875. Your first stop in lesbian/feminist New
Orleans",,,,,,1989
Paragon,Bar / Restaurants,1501 Broad St. ,,Lake Charles,LA,"70601 -Tel. 436-8225. Bar/ restaurant/ pool tables/
special women's entertainment nights Say 'hi' from GAIA.",**(**),"Bars, Clubs, Coffeehouses",,,,1989
C'est La Guerre,Bars,607 University Ave,,Lafayette,LA,-Tel. 235-9233.,**(MGM),"Bars, Clubs, Coffeehouses",,,,1989
The Fatted Calf,Restaurants,727 St. Peter Street,,New Orleans,LA,-Tel. 523-0019. Cajun creole & daily specials. 'We really know how to Moo.',*,Restaurants,,,,1989
